Date,Close_AAPL,Close_MSFT,High_AAPL,High_MSFT,Low_AAPL,Low_MSFT,Open_AAPL,Open_MSFT,Volume_AAPL,Volume_MSFT
2023-01-03,123.47061157226562,234.8089599609375,129.22605213593528,240.8560876090647,122.58211921528644,232.67236512033801,128.6139854814398,238.23926029311136,112117500,25740000
2023-01-04,124.7441177368164,224.53765869140625,127.01470850998557,228.2325713228783,123.48048749262259,221.46018993339348,125.26733892869382,227.65432430054253,89113600,50623400
2023-01-05,123.42125701904297,217.88287353515625,126.1360903730334,223.01852855170435,123.16458728849297,217.3438233498918,125.50427521319664,222.67549253701173,80962700,39585600
2023-01-06,127.96240997314453,220.45068359375,128.62384018148796,221.26415657200155,123.29290160052527,214.98181819404755,124.39858171183529,218.55912524866,87754700,43613600
2023-01-09,128.48565673828125,222.59707641601562,131.70397802412538,226.63503997806498,128.22898699932045,221.9012238905733,128.80157186038267,221.9404207414047,70790800,27369800
2023-01-10,129.05824279785156,224.29261779785156,129.5814640429866,226.70362023833323,126.48161843097465,222.80288335065225,128.59425187274505,223.2243130221081,63896200,27033900
2023-01-11,131.78294372558594,231.07481384277344,131.8026771210122,231.2512220935921,128.7916923794983,226.50761080924343,129.57158328133335,226.6840190600621,69458900,28669300
2023-01-12,131.7039794921875,233.76025390625,132.54310080025633,235.1225725416833,129.75917030810112,228.9088322882637,132.1679704181571,230.57497512258234,71379600,27269500
2023-01-13,133.0366973876953,234.46592712402344,133.19465493922883,234.60313854097345,129.97634891095512,230.2417596219311,130.34161256817276,232.28033992727597,57809700,21333300
2023-01-17,134.20159912109375,235.5635986328125,135.53432625738486,236.11244421957366,132.41474784548592,232.36850975214904,133.10579321952497,233.23098993415692,63646600,29831300
2023-01-18,133.48094177246094,231.114013671875,136.83745656269951,237.55318409838128,133.30323577852656,230.8297953902502,135.0703537024429,236.7593170496167,69672800,30028700
2023-01-19,133.54019165039062,227.31129455566406,134.50765533885576,230.82981397653035,132.0593734264766,226.08618729413027,132.36540678256628,229.12445928470314,58280400,28623000
2023-01-20,136.10694885253906,235.43618774414062,136.25503972906995,235.94583649485557,132.50363014524083,229.839891824255,133.55007272593946,230.18292780077718,80223600,35389800
2023-01-23,139.30551147460938,237.74920654296875,141.48725702280552,240.28762508379944,136.1365537453342,234.87754747647304,136.35374163026458,236.2986837989115,81760300,31934000
2023-01-24,140.70733642578125,237.21995544433594,141.32928485597137,239.0919228720018,138.50585770726414,235.6518271703912,138.51572440513698,237.67080148298487,66435100,40234400
2023-01-25,140.04591369628906,235.81842041015625,140.60861677861874,238.4548533307445,137.03491367991992,226.3017817017581,139.0883167228264,229.81049029542936,65799300,66526600
2023-01-26,142.11904907226562,243.061279296875,142.40533393014599,243.3651035032085,140.08537965694651,237.18076447517643,141.33914314056878,238.79790006917452,54105100,33454500
2023-01-27,144.06385803222656,243.21810913085938,145.34723680622537,244.85485071253632,141.25031251687773,241.9145931503787,141.3292912944412,244.03158218431378,70555800,26498900
2023-01-30,141.1713409423828,237.87661743164062,143.68873499989203,240.7090646327135,141.0232651416844,237.37676413120786,143.10628343226185,239.64075980634883,64015300,25867400
2023-01-31,142.44483947753906,242.8750762939453,142.49420309949798,243.01228771712016,140.4605484095562,238.11185838241346,140.87517571941848,238.60190131588413,65874500,26541100
2023-02-01,143.57025146484375,247.7166748046875,144.7351696002277,250.09827601317127,139.51282411039048,240.58165169810152,142.1289302044529,243.0612674641444,77663600,31259900
2023-02-02,148.89134216308594,259.3306884765625,149.24672407231745,259.4188926025156,146.2752209542802,252.1270524252997,146.9958815985471,253.66579418989215,118339000,39940400
2023-02-03,152.52427673339844,253.20516967773438,155.36745253753844,258.9386775277901,145.93957351960248,251.98006244096368,146.13701293629845,254.37147415992763,154357300,29077300
2023-02-06,149.7896728515625,251.6566162109375,151.14216353764462,253.1561462653794,148.85182446235734,249.7062550702165,150.6189423816567,252.31328684712523,69858300,22518000
2023-02-07,152.67233276367188,262.23175048828125,153.24491754252153,263.4176459144894,148.7136179890826,254.90069804204686,148.7136179890826,255.3417486096492,83322600,50841400
2023-02-08,149.9772491455078,261.41827392578125,152.60323674930237,271.2485324657394,149.23684012618935,260.9086102109095,151.91219134400382,267.7594297078376,64120100,54686000
2023-02-09,148.94068908691406,258.37017822265625,152.35644968138112,268.5238812652101,148.49644664158131,257.56650079899157,151.81347999768036,268.3474431140304,56007100,42375100
2023-02-10,149.30650329589844,257.86053466796875,149.6327824911062,258.8308098683865,147.53670230127932,255.46912334323994,147.77400037597405,256.32179305389064,57450700,25818500
2023-02-13,152.11448669433594,265.9168701171875,152.5198501850578,269.1315501475347,149.21753098880535,261.82989942164016,149.24719136406156,262.31016177286494,62199000,44630900
2023-02-14,151.47181701660156,266.74993896484375,152.03539434579272,269.49416696950243,149.15821711991074,263.9174769262478,150.40399819813007,267.23998181637864,61707600,37047900
2023-02-15,153.57777404785156,264.6178894042969,153.745854522139,266.00327549880467,151.1554147270533,261.5326969701238,151.38281594677636,263.6353486267536,65573800,28922400
2023-02-16,151.97607421875,257.5730285644531,154.56651436571883,262.08288660517877,151.6201346111262,257.32739339893584,151.77831825822219,259.41037480496044,68167900,29603600
2023-02-17,150.82916259765625,253.55441284179688,151.27408335489702,255.54896896604592,149.14834246660095,251.53038170033267,150.6314217151784,254.86120856943893,59144100,30000100
2023-02-21,146.8050537109375,248.258544921875,149.59324968756485,251.02931675886796,146.73585119733022,247.19739921785944,148.50565230235682,250.03694110450442,58867200,28397400
2023-02-22,147.23020935058594,247.1187744140625,148.2584708875877,249.89936603806962,145.4999504020457,245.96920374136064,147.19065212608928,249.65373089452532,51011300,22491100
2023-02-23,147.7146759033203,250.32186889648438,148.64407457569817,252.35572011024465,145.57905341345287,246.1067613934901,148.39689471971093,251.0980693615476,48394200,29219100
2023-02-24,145.05503845214844,244.8687744140625,145.52961956815125,246.6176955175455,144.07620075664735,243.7683337176813,145.4505202010405,245.59585986981725,55469600,24990900
2023-02-27,146.25135803222656,245.79237365722656,147.48725716556407,248.40593539561652,145.7866587511589,245.03581315561252,146.0437354263551,248.05222016040298,44998500,21190000
2023-02-28,145.7471466064453,245.06527709960938,147.39830637793327,247.09914335825746,145.17368748018072,244.38732168006,145.39120697933842,244.72139688160397,50547000,22491000
2023-03-01,143.67080688476562,241.97027587890625,145.56914623363537,246.5489036451056,143.37418806129784,241.49864560005906,145.17366452678502,246.38187354348958,55479000,27565300
