ticker,test_stat,p_value,used_lag,nobs,crit_1%,crit_5%,crit_10%,icbest,regression,autolag
AAPL,-8.973457083867826,7.643025070513557e-15,3,245,-3.4573260719088132,-2.873410402808354,-2.573095980841316,-1147.882719610686,c,AIC
MSFT,-16.486130464788367,2.214110544054719e-29,0,248,-3.4569962781990573,-2.8732659015936024,-2.573018897632674,-1262.210621508182,c,AIC
