date,AAPL_Close,MSFT_Close,AAPL_High,MSFT_High,AAPL_Low,MSFT_Low,AAPL_Open,MSFT_Open,AAPL_Volume,MSFT_Volume,AAPL_simple_return,MSFT_simple_return,AAPL_log_return,MSFT_log_return,AAPL_logret_sma20,MSFT_logret_sma20,AAPL_logret_std20,MSFT_logret_std20
2024-08-19,224.8435821533203,419.07672119140625,224.94312498661264,419.2954420190991,222.0067784736323,414.03622098500824,224.6743714872065,416.52167114516885,40687800,15234000,,,,,,,,
2024-08-20,225.46067810058594,422.32769775390625,226.117624269924,423.3815262412174,224.405591022129,419.18611531171354,224.7241158999058,419.24576369099765,30299000,16387600,0.002744556644026508,0.007757473508090973,0.0027407972254938073,0.007727539021468388,,,,
2024-08-21,225.3511962890625,421.67156982421875,226.92387876417723,423.9183962597862,224.00745927475182,419.2656405890008,225.47065071716546,421.6118911043651,34765500,16067300,-0.00048559160047678684,-0.0015535990965712676,-0.0004857095382595489,-0.001554807183064888,,,,
2024-08-22,223.4898681640625,413.1315002441406,227.28221598709214,424.30610443723026,222.86278176595104,412.1969685866766,226.7347608131935,421.8902239006129,43695300,19361900,-0.008259677142394395,-0.020252893937426686,-0.008293977278252207,-0.02046079565764014,,,,
2024-08-23,225.78916931152344,414.36431884765625,227.16278137803022,416.8199448280934,223.29080225181497,409.69166039420327,224.61464290366072,414.5532154876874,38677300,18493800,0.010288167272858306,0.0029840827987870355,0.010235604290374845,0.002979639261439182,,,,
2024-08-26,226.12757873535156,411.0835266113281,226.2271215594374,414.8514777475828,222.8528263811224,408.94604542911463,225.70952621277567,413.94677020088477,30602200,13152800,0.0014987850163938887,-0.007917651417120086,0.0014976629591396673,-0.007949162458271708,,,,
2024-08-27,226.97364807128906,411.4314880371094,227.78985670532606,411.9484507655821,223.84819475275475,407.86238512676584,224.95305327681544,410.4571806188663,35934600,13492900,0.003741557490109182,0.0008464494518902743,0.0037345752747039995,0.0008460914155783428,,,,
2024-08-28,225.4407958984375,408.2103271484375,228.79517959293358,412.5847132206145,224.63453544627717,404.9394663484376,226.86416416696267,412.46541647118636,38052200,14882700,-0.006753436735396301,-0.007829154992583742,-0.006776344384426203,-0.007859963736171593,,,,
2024-08-29,228.72549438476562,410.7156677246094,231.84099956412553,419.593688512659,227.819721489883,408.21034485802835,229.03407107214645,412.5250827426797,51906300,17045200,0.014570115729221955,0.006137376762790359,0.014464991477778355,0.006118619772712108,,,,
2024-08-30,227.9391632080078,414.7122802734375,229.33267166766268,415.0602190186727,226.42620031745173,409.7314285183125,229.123652992766,413.18123450252676,52990800,24308300,-0.0034378816356825936,0.009730849984296075,-0.003443804729914568,0.009683810175624252,,,,
